example_id,text,predicted_label,strategy,budget_pct,comprehensiveness,sufficiency,comp_coverage,suff_coverage,comp_efficiency,suff_efficiency
0,। গরুর বাচ্চা কুকুরের বাচ্চা,1,sum,10,0.03292161226272583,0.9629681813530624,0.2,0.2,0.16460806131362915,4.814840906765312
0,। গরুর বাচ্চা কুকুরের বাচ্চা,1,sum,20,0.03292161226272583,0.9629681813530624,0.2,0.2,0.16460806131362915,4.814840906765312
0,। গরুর বাচ্চা কুকুরের বাচ্চা,1,sum,30,0.03292161226272583,0.9629681813530624,0.2,0.2,0.16460806131362915,4.814840906765312
0,। গরুর বাচ্চা কুকুরের বাচ্চা,1,mean,10,0.03292161226272583,0.9629681813530624,0.2,0.2,0.16460806131362915,4.814840906765312
0,। গরুর বাচ্চা কুকুরের বাচ্চা,1,mean,20,0.03292161226272583,0.9629681813530624,0.2,0.2,0.16460806131362915,4.814840906765312
0,। গরুর বাচ্চা কুকুরের বাচ্চা,1,mean,30,0.03292161226272583,0.9629681813530624,0.2,0.2,0.16460806131362915,4.814840906765312
0,। গরুর বাচ্চা কুকুরের বাচ্চা,1,max,10,0.03292161226272583,0.9629681813530624,0.2,0.2,0.16460806131362915,4.814840906765312
0,। গরুর বাচ্চা কুকুরের বাচ্চা,1,max,20,0.03292161226272583,0.9629681813530624,0.2,0.2,0.16460806131362915,4.814840906765312
0,। গরুর বাচ্চা কুকুরের বাচ্চা,1,max,30,0.03292161226272583,0.9629681813530624,0.2,0.2,0.16460806131362915,4.814840906765312
0,। গরুর বাচ্চা কুকুরের বাচ্চা,1,hierarchical,10,0.2735603451728821,0.20951759815216064,0.4,0.4,0.6839008629322052,0.5237939953804016
0,। গরুর বাচ্চা কুকুরের বাচ্চা,1,hierarchical,20,0.2735603451728821,0.20951759815216064,0.4,0.4,0.6839008629322052,0.5237939953804016
0,। গরুর বাচ্চা কুকুরের বাচ্চা,1,hierarchical,30,0.2735603451728821,0.20951759815216064,0.4,0.4,0.6839008629322052,0.5237939953804016
1,অন্যায় দাবি করছে ক্রিকেটাররা অথচ দোষ নাকি বোর্ডের ? বাংলাদেশ মাতালের কারখানায় পরিনত হয়েছে।,0,sum,10,0.08888483047485352,-0.012899518013000488,0.06666666666666667,0.06666666666666667,1.3332724571228027,-0.19349277019500732
1,অন্যায় দাবি করছে ক্রিকেটাররা অথচ দোষ নাকি বোর্ডের ? বাংলাদেশ মাতালের কারখানায় পরিনত হয়েছে।,0,sum,20,-0.014354705810546875,-0.015069365501403809,0.2,0.2,-0.07177352905273438,-0.07534682750701904
1,অন্যায় দাবি করছে ক্রিকেটাররা অথচ দোষ নাকি বোর্ডের ? বাংলাদেশ মাতালের কারখানায় পরিনত হয়েছে।,0,sum,30,-0.015566825866699219,-0.014578819274902344,0.26666666666666666,0.26666666666666666,-0.05837559700012207,-0.05467057228088379
